Region,Value,Parameter,Start date,End date,Type,Class
,,run dates,2020-07-07,2021-01-01,,
,2,number of runs,,,,
,1.0,seasonality,,,trace,
,same,beta scenario,,,group,Scenario 1
,same,beta scenario,,2020-07-21,group,Scenario 2
,lifted,beta scenario,2020-07-21,2020-07-21,group,Scenario 2
,0.5,airline traffic,,,group,Scenario 2
,same,beta scenario,,2020-07-21,group,Scenario 3
,tight,beta scenario,2020-07-21,2020-08-4,group,Scenario 3
,0.35,beta,2020-08-04,,group,Scenario 3
