Name,scenario-beta-same-Expected Spread,scenario-beta-same-Faster Spread,scenario-beta-same-Slower Spread,scenario-beta-lifted-Expected Spread,scenario-beta-lifted-Faster Spread,scenario-beta-lifted-Slower Spread,scenario-beta-tight-Expected Spread,scenario-beta-tight-Faster Spread,scenario-beta-tight-Slower Spread
Gabon,0.4568967084,0.5729474926,0.3408459243,0.5568967084,0.6729474926,0.4408459243,0.6568967084,0.7729474926,0.5408459243
United Kingdom,0.3916713509,0.55,0.3387256995,0.4916713509,0.65,0.4387256995,0.5916713509,0.75,0.5387256995
Georgia,0.3936779184,0.5166321875,0.2707236492,0.4936779184,0.6166321875,0.3707236492,0.5936779184,0.7166321875,0.4707236492
Ghana,0.588956813,0.6565900387,0.5213235872,0.688956813,0.7565900387,0.6213235872,0.788956813,0.8565900387,0.7213235872
Guinea,0.4462456817,0.5290725425,0.3634188209,0.5462456817,0.6290725425,0.4634188209,0.6462456817,0.7290725425,0.5634188209
Guinea-Bissau,0.5424715511,0.6661845779,0.4187585243,0.6424715511,0.7661845779,0.5187585243,0.7424715511,0.8661845779,0.6187585243
Equatorial Guinea,0.8047702647,0.8543740455,0.755166484,0.9047702647,0.9543740455,0.855166484,1.004770265,1.054374045,0.955166484
Greece,0.5249158416,0.6206249234,0.4292067599,0.6249158416,0.7206249234,0.5292067599,0.7249158416,0.8206249234,0.6292067599
Guatemala,0.5961876006,0.6521381728,0.5402370283,0.6961876006,0.7521381728,0.6402370283,0.7961876006,0.8521381728,0.7402370283
Honduras,0.6251873178,0.6856147729,0.5647598626,0.7251873178,0.7856147729,0.6647598626,0.8251873178,0.8856147729,0.7647598626
Croatia,0.75,1.079015569,0.420984431,0.85,1.179015569,0.520984431,0.95,1.279015569,0.620984431
Haiti,0.4201622876,0.4998550756,0.3404694995,0.5201622876,0.5998550756,0.4404694995,0.6201622876,0.6998550756,0.5404694995
Hungary,0.4451287933,0.5746941605,0.3155634262,0.5451287933,0.6746941605,0.4155634262,0.6451287933,0.7746941605,0.5155634262
