Name,Country,Date Start,Date end intended,Implementing State/Province,Implementing City,Description of measure implemented,Keywords,Exceptions,Applies To,Target country,Target region,Tests per day,Tests conducted to date,Contacts traced to date,Column 1,Source,Target state,Target city
,China,"Feb 16, 2020",,Hubei,,"Hubei implements ""hard quarantine"" in units of natural villages; no outsiders are to be allowed in and each household is allowed one person every three days to go out for provisions and urgent agricultural material, on designated routes and in limited time.","blanket house confinement, compulsory isolation, natural village quarantine",,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-628,,
,China,"Feb 16, 2020",,,,All nonessential public spaces in Hubei are to be closed and all gatherings forbidden,"activity ban, activity cancellation",,,,,,,,,https://www.thepaper.cn/newsDetail_forward_6020319,,
,China,"Feb 16, 2020",,Guizhou,,"Guizhou resumes normal traffic, removing all temporary quarantine checkpoints.",quarantine lifted,,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-633,,
,China,"Feb 16, 2020",,Hunan,,The first internet hospitals open in Hunan.,"remote medical treatment, remote work",,,,,,,,,https://www.jiemian.com/article/3990885.html,,
,China,"Feb 16, 2020",,Jiangsu,"Nanjing, Suzhou","Nanjing and Suzhou implements real-name system for public transit, following Shenzhen","contact tracing, phone based location tracing, public transport occupancy tracing",,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-643,,
,China,"Feb 16, 2020",,Huanggang,,Huanggang announced that any person with fever or cough taking the initiative to see a doctor would receive a financial reward of ¥500 (US$71.6). This is about 1 week of pay at Cmedian income,"economic stimulus, encouraging symptomatic people to seek tests, financial incentive, testing",,,,,,,,,https://www.jiemian.com/article/3991886.html,,
,China,"Feb 17, 2020",,Hubei,Xiaogan,"Following its announcement the previous night, Xiaogan now bans all its urban residents from leaving home, all its rural residents from wandering, visiting neighbours, and gathering, and all vehicles from roads. Exceptions are made for medical reasons, medical staff, providers of medical and living provision, pregnancies, deaths, essential vehicles, and others granted permissions. Violators would be subject to up to 10 days of detention and put on the dishonest list.","blanket house confinement, compulsory isolation",,,,,,,,,https://view.inews.qq.com/a/20200216A0PF3Q00,,
,China,"Feb 17, 2020",,Zheijang,Hangzhou,Hangzhou resumes normal traffic and public transport service,quarantine lifted,,,,,,,,,http://std.stheadline.com/instant/articles/detail/1202384/%E5%8D%B3%E6%99%82-%E4%B8%AD%E5%9C%8B-%E6%9D%AD%E5%B7%9E%E5%9F%8E%E5%B8%82%E5%85%AC%E5%85%B1%E4%BA%A4%E9%80%9A%E5%AE%A2%E9%81%8B%E5%8F%8A%E5%9C%B0%E9%90%B5-%E6%98%8E%E5%87%8C%E6%99%A8%E8%B5%B7%E6%81%A2%E5%BE%A9%E6%9C%8D%E5%8B%99,,
,China,"Feb 18, 2020",,Tianjin,,Tianjin now requires QR code scanning for entering public spaces and transport services,"contact tracing, phone based location tracing, public transport occupancy tracing",,,,,,,,,https://www.jiemian.com/article/3997117.html,,
,China,"Feb 18, 2020",,Zheijang,Yiwu International Trade City,Yiwu International Trade City reopened for business,business resumed,,,,,,,,,http://jinhua.zjol.com.cn/jsbd/202002/t20200218_11684672.shtml,,
,China,"Feb 18, 2020",,Shanghai,,"Shanghai requires educational institutions to conduct online education when the new semester starts on 2 March, so that student will not go to school.","mandated remote schooling, remote schooling",,,,,,,,,https://www.jiemian.com/article/3999134.html,,
,China,"Feb 19, 2020",,,,"The NHC published the sixth pilot version of Diagnostic and Treatment Plan of the Novel Coronavirus Pneumonia,[657] which removed the category of clinical diagnosis introduced in the previous edition for Hubei, as well as adjusted several descriptions, criteria, and treatment guidelines of COVID-19,.","diagnostic guidance, testing",,,,,,,,,http://www.nhc.gov.cn/yzygj/s7653p/202002/8334a8326dd94d329df351d7da8aefc2.shtml,,
,China,"Feb 19, 2020",,Zheijang,,Zhejiang now requires declaration for vehicles entering the province.,domestic traveller screening,,,,,,,,,https://www.jiemian.com/article/4001322.html,,
,China,"Feb 19, 2020",,Zheijang,Wenzhou,public transport across the province apart from Wenzhou will now resume normal service.,public transport resumed,,,,,,,,,https://www.guancha.cn/politics/2020_02_18_536964.shtml,,
,China,"Feb 19, 2020",,Guangdong,,Guangdong resumes inter-provincial busses in response to the travel needs of migrant workers.,domestic travel resumed,,,,,,,,,http://www.gd.xinhuanet.com/newscenter/2020-02/19/c_1125595349.htm,,
,China,"Feb 19, 2020",,Hubei,Wuhan,Wuhan bans all vehicles from roads apart from essential vehicles,total vehicle ban,,,,,,,,,http://www.gd.xinhuanet.com/newscenter/2020-02/19/c_1125595349.htm,,
,China,"Feb 19, 2020",,Hubei,,"Hubei requires businesses in the province not to resume before 10 March, except for essential industries.",business suspension,,,,,,,,,http://www.nbd.com.cn/articles/2020-02-20/1409863.html,,
,China,"Feb 20, 2020",,Zheijang,Wenzhou,Wenzhou removed all checkpoints except in Yueqing and reopened highways.,domestic travel resumed,,,,,,,,,https://www.jiemian.com/article/4010536.html,,
,China,"Feb 20, 2020",,Hubei,Wuhan,Wuhan requires residents to measure their temperature twice daily and report any measurements exceeding 37.3 °C (99.1 °F).,encouraging symptomatic people to seek tests,,,,,,,,,https://www.jiemian.com/article/4009367.html,,
,China,"Feb 21, 2020",,"Henan, Shandong",,Henan and Shandong removed all road quarantine measures.,domestic travel resumed,,,,,,,,,https://www.jiemian.com/article/4009936.html,,
,China,"Feb 21, 2020",,Hubei,,"Following some public confusion with the data released, Hubei prohibited the subtracting of clinically diagnosed cases.","diagnostic guidance, epidemic data",,,,,,,,,https://www.jiemian.com/article/4013807.html,,
,China,"Feb 21, 2020",,Hubei,Wuhan,"Wuhan finished the testing of all existing suspected patients, patients with fever, and people with close contact",testing,,,,,20000,,,,https://www.jiemian.com/article/4015978.html,,
,China,"Feb 22, 2020",,Hubei,Wuhan,Wuhan requires a 14-day quarantine for patients discharged from COVID-19.,"compulsory isolation, discharged patient isolation, targeted isolation",,,,,,,,,https://www.jiemian.com/article/4017540.html,,
,China,"Feb 25, 2020",,"Liaoning, Shandong","Dalian, Qingdao, Shenyang, Weihai","In response the epidemic situation in South Korea and an apparent significant surge of demand for flight tickets from South Korea to Shandong cities, Qingdao will now quarantine all persons entering with a travel history of areas with the epidemic,[692] Weihai will now quarantine all persons entering from Japan and South Korea for 14 days,[693] Shenyang will now test the temperature of all passengers entering from the city,[694] and Dalian will now include all foreigners into its epidemic control mechanism.","compulsory isolation, international traveller screening, targeted isolation",,,"Japan, South Korea",,,,,,http://www.takungpao.com/news/232108/2020/0225/419743.html,,
,China,"Feb 25, 2020",,Guangzhou,,Guangzhou will now test all inpatients for SARS-CoV-19.,"blanket testing, testing",,,,,,,,,https://www.jiemian.com/article/4029191.html,,
,Czechia,"Mar 10, 2020",,,,"personal participation in teaching at primary, secondary, tertiary and tertiary professional schools was also prohibited",school closure,,,,,,,,,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,
,China,"Feb 25, 2020",,,Beijing,Beijing required foreign travellers arriving from areas affected by COVID-19 to be quarantined for 14 days.,"compulsory isolation, international traveller screening, targeted isolation",,,"Japan, South Korea",,,,,,https://www.channelnewsasia.com/news/asia/beijing-orders-quarantine-for-foreign-arrivals-from-virus-hit-areas-12473012,,
,China,"Feb 26, 2020",,Shandong,Yantai,"Yantai, Shandong will now test all persons entering China from the city for SARS-CoV-2 for free.","blanket testing, domestic traveller screening, testing",,,,,,,,,https://www.jiemian.com/article/4032138.html,,
,Australia,"Feb 01, 2020",,,,"All travellers arriving out of mainland China were asked to self-isolate for a period of 14 days from the time of leaving. Additional border measures were implemented to deny entry of people who have arrived from the mainland China, with the exception of Australian citizens, permanent residents and their immediate family and air crews who have been using appropriate personal protective equipment.",travel ban,,,China,,,,,,https://www.health.gov.au/news/australian-health-protection-principal-committee-ahppc-novel-coronavirus-statement-on-1-february-2020,,
,Czechia,"Mar 10, 2020",,,,"another extraordinary measure was issued, ordering all persons not subject to the extraordinary measure of 7 March 2020 on compulsory quarantine, after crossing the national border of the Czech Republic, to undergo control of symptoms of infectious diseases. At the same time, it directs all people who have been diagnosed with symptoms to provide the necessary assistance to healthcare professionals.","international traveller screening, quarantine",,,,,,,,,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,
,Vietnam,"Feb 01, 2020","Feb 02, 2020",Quang Ninh,,"International border gates Móng Cái (Quảng Ninh Province, Vietnam) - Dongxing (Guangxi, China) ceased functioning on 1 February for an unspecified time; border gates Hoành Mô and Bắc Phong Sinh experienced a 24-hour closure, awaiting further measurements from authorities.",travel ban,,,China,,,,,,https://vtc.vn/tin-tuc-trong-ngay/quang-ninh-dong-cua-cac-diem-xuat-hang-tren-tuyen-bien-gioi-giap-trung-quoc-ar524858.html,,
,Czechia,"Mar 10, 2020",,,,"the Security Council met. Subsequently, the Ministry of Health, based on an ongoing assessment of the situation, issued an extraordinary measure ordering, with effect from 10 March 2020, all providers of inpatient health services and social services facilities to ban visitors.",,"inpatient care, which is provided to minors, patients with limited legal capacity and parents. The ban on visits also does not apply to hospices, including services for terminally terminally ill patients.",,,,,,,,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,
,Taiwan,"Feb 01, 2020",,,,"Taiwan barred nationals from Guangdong (mainland China) and travellers who recently visited the area will be subject to a mandatory 14-day quarantine, from entry beginning 1 February.",travel ban,,,China,Guangdong,,,,,,,
,Vietnam,"Feb 01, 2020","May 01, 2020",,,"With the sixth case being another domestic transmission, Vietnamese Prime Minister Nguyễn Xuân Phúc signed an epidemic declaration.[13] Aviation permits which already had been granted for flights between Vietnam and China Mainland-Hong Kong-Macau were all revoked, effective immediately from 13:00 (UTC+7, 1 February) for an unspecified time.[13][713] It perhaps lasts until 1 May, according to the United States Federal Aviation Administration.",travel ban,,,"China, Hong Kong, Macau",,,,,,https://en.vietnamplus.vn/vietnam-declares-novel-coronavirus-epidemic/168021.vnp,,
,Japan,"Feb 01, 2020",,,,"The Government of Japan barred: entry of foreign nationals infected with the virus, and entry of Chinese citizens with passports issued in Hubei province.",travel ban,,,China,Hubei,,,,,https://japantoday.com/category/national/Japan-bars-entry-of-foreign-travelers-from-China%27s-Hubei-Province,,
,Czechia,"Mar 10, 2020",,,,Information leaflets about coronavirus in 4 languages began to be distributed and the temperature of passengers is measured. Distribution of leaflets was also ensured in train connections.,,,,,,,,,,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,
,Germany,"Feb 01, 2020",,,,"102 German citizens and 26 relatives, all of whom were symptom-free on departure, were evacuated from the Wuhan region to Frankfurt am Main by the Executive Transport Wing of the German Air Force. After their return, they were placed in quarantine in a military barrack in Rhineland-Palatinate for 14 days.[716] The coronavirus was found in two passengers on 2 February.","international traveller screening, testing",,,,,,,,,https://www.tagesschau.de/inland/coronavirus-germersheim-107.html,,
,Czechia,"Feb 01, 2020",,,,Trinidad and Tobago's travel restrictions on persons arriving from China goes into full effect. Persons now have to wait 14 days after leaving China before being able to enter Trinidad & Tobago. Additionally persons who may already be at a port of entry and who were in China or are showing symptoms will be subject to quarantine measures.,"international traveller screening, travel ban",,,"Canada, China, Panama, United Kingdom, United States",,,,,,http://www.guardian.co.tt/neo/NeoProxy.dll?app=NeoDirect&com=6/2/1044268/3e2e11acfd,,
,Qatar,"Feb 03, 2020",,,,Qatar Airways has suspended flights to mainland China from 3 February until further notice,travel ban,,,China,,,,,,https://business.financialpost.com/pmn/business-pmn/qatar-air-suspends-flights-to-china-as-cases-jump-virus-update,,
,New Zealand,"Feb 02, 2020","Feb 28, 2020",,,"New Zealand has temporarily banned all foreign nationals travelling from, or transiting through mainland China after 2 February to assist the containment of the coronavirus into New Zealand and the Pacific Islands. Foreign travelers in transit to New Zealand on 2 February will be subject to enhanced scanning but pending clearance will be allowed into New Zealand.","international traveller screening, travel ban",,,China,,,,,,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12305282,,
,North Korea,"Feb 02, 2020",,,,"""During the month of February, events, ceremonial visits and meetings shall not proceed, and essential meetings shall be conducted via telephone"" [...] all diplomats or international organization staff going to North Korea will now be subjected to a mandatory 15-day quarantine process at their “place of residence” from the day of arrival"".","international traveller screening, travel ban",,,Russia,,,,,,https://www.nknews.org/2020/02/north-korea-suspends-vladivostok-flights-expands-virus-containment-measures/,,
,North Korea,"Feb 02, 2020",,,,"""During the month of February, events, ceremonial visits and meetings shall not proceed, and essential meetings shall be conducted via telephone"" [...] all diplomats or international organization staff going to North Korea will now be subjected to a mandatory 15-day quarantine process at their “place of residence” from the day of arrival"".","activity cancellation, mandated remote work, remote work",,,,,,,,,https://www.nknews.org/2020/02/north-korea-suspends-vladivostok-flights-expands-virus-containment-measures/,,
,Vietnam,"Feb 03, 2020","Feb 10, 2020",,,Lunar New Year holidays was extended for one week to all k-through-12 students in Ho Chi Minh City; public schools will resume on 10 February.,school closure,,,,,,,,,https://tuoitrenews.vn/news/education/20200202/ho-chi-minh-city-allows-k12-students-one-week-off-to-avoid-coronavirus-spread/52828.html,,
,United States,"Feb 03, 2020",,,,"The Centers for Disease Control and Prevention plan to distribute testing kits to speed up the diagnosis of the coronavirus. The CDC states that this measure will help speed up the testing and diagnosis of the coronavirus after cases in the U.S. reached 11. The Food and Drug Administration first has to approve the test for wider distribution, the CDC said.",testing planned,,,,,,,,,https://www.nytimes.com/2020/02/03/world/asia/coronavirus-china.html,,
,Singapore,"Feb 03, 2020",,,,"K-pop band Winner cancelled its concert in Singapore, supposed to be held on 8 February.",event cancellation,,,,,,,,,https://www.straitstimes.com/lifestyle/k-pop-group-winners-concert-huayi-events-stage-club-play-cancelled-or-postponed-due-to,,
,Vietnam,"Feb 04, 2020",,,,The Nanning–Hanoi through train shall cease service as per agreement between the two national operators.,travel ban,,,China,,,,,,https://news.zing.vn/dung-tau-khach-lien-van-quoc-te-viet-nam-trung-quoc-post1042917.html,,
,Colombia,"Feb 05, 2020",,,,"With the US CDC's endorsement, Colombia INS confirmed that it to be the first country in Latin America that might detect the novel coronavirus without sending samples to foreign centers",testing commenced,,,,,,,,,https://www.eltiempo.com/salud/prueba-para-detectar-el-coronavirus-en-colombia-458712,,
,United States,"Feb 06, 2020",,,,The Pentagon was asked by the Department of Health and Human Services (HHS) to provide military installations near 11 major airports that could each house up to 220 U.S. citizens in support of coronavirus quarantines.,quarantine planned,,,,,,,,,https://thehill.com/policy/defense/481934-pentagon-to-provide-military-installations-near-11-major-airports-for,,
,United States,"Feb 06, 2020",,,,US Universities restrict study abroad program to and from China,"activity cancellation, university closure",,,China,,,,,,https://www.foxnews.com/health/coronavirus-these-universities-canceling-study-abroad-programs,,
,Singapore,"Feb 07, 2020",,,,"Singapore raises its contagion threat level to Orange, as the virus is spreading there from unknown origins",public announcement,,,,,,,,,https://www.straitstimes.com/singapore/coronavirus-outbreak-alert-upped-to-orange-as-more-cases-surface-with-no-known-links-more,,
,Hong Kong,"Feb 07, 2020",,,,"Two Hong Kong jewelry trade fairs, hosted by the Hong Kong Trade Development Council, got rescheduled due to the virus epidemic.[810] Art Basel Hong Kong international art fair, that was being held in March also gets cancelled due to the virus epidemic.","activity cancellation, business suspension, event cancellation",,,,,,,,,https://www.forbes.com/sites/anthonydemarco/2020/02/06/two-hong-kong-jewelry-trade-fairs-are-rescheduled-due-to-coronavirus/,,
,Singapore,"Feb 07, 2020","Mar 01, 2020",,,"The performances of Mandarin play First Fleet, originally slated to run from Feb 14 to 23, 2020",event cancellation,,,,,,,,,https://www.straitstimes.com/lifestyle/arts/mandarin-play-first-fleet-rescheduled,,
,Vietnam,"Feb 08, 2020",,,,"The school break in Vietnam was extended in all 63 first-level subdivisions, with the majority to 16 February and five to an unspecified time.",school closure,,,,,,,,,https://tuoitre.vn/63-63-tinh-thanh-pho-keo-dai-thoi-gian-nghi-hoc-cho-hoc-sinh-20200208175640702.htm,,
,China,"Feb 08, 2020","Feb 10, 2020",,,Apple extends the shutdown period of its stores and corporate offices in China. They will reopen at some time during the week of 10 February which is the week after the originally stated week Apple said they will reopen,business suspension,,,,,,,,,https://www.cnbc.com/2020/02/07/apple-extends-its-store-closures-in-china-due-to-the-coronavirus.html,,
,France,"Feb 09, 2020",,,,Families in the French village Les Contamines-Montjoie get lined up to get tested for the virus.,testing commenced,,,,,,,,,https://www.reuters.com/article/us-china-health-france-idUSKBN2030K4,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Czechia,"Mar 10, 2020",,,,All mass events with more than 100 people were banned at the same time,social distancing,,,,,,,,,,,
,Spain,"Mar 09, 2020",,Madrid,,temporarily closing all educational institutions in Madrid and other hard-hit regions.,school closure,,,,,,,,,https://www.ft.com/content/b91c1de6-6246-11ea-a6cd-df28cc3c6a68,,
,France,"Mar 16, 2020",,,,"French schools, universities and crèches will be shut from Monday due to the coronavirus outbreak",school closure,,,,,,,,,https://www.politico.eu/article/macron-orders-closure-of-french-schools-universities-due-to-coronavirus/,,
,Belgium,"Mar 14, 2020","Apr 03, 2020",,,"Belgium will close schools,",school closure,,,,,,,,,https://www.thejakartapost.com/news/2020/03/13/belgium-closes-schools-bars-to-fight-coronavirus-outbreak.html,,
,Belgium,"Mar 14, 2020",,,,"cancel all cultural events and shutter bars and restaurants to stave off the spread of the coronavirus outbreak (all recreational events: sporting, cultural or folkloric"" are cancelled, ""regardless of size and whether it is a private or public meeting."")",business suspension,,,,,,,,,https://www.thejakartapost.com/news/2020/03/13/belgium-closes-schools-bars-to-fight-coronavirus-outbreak.html,,
,Belgium,"Mar 14, 2020",,,,"Beginning Saturday, only stores that provide essential services -- such as pharmacies and grocery stores-- will remain open under normal conditions. All other stores will remain open during the week, but closed at weekends.",business suspension,,,,,,,,,https://www.thejakartapost.com/news/2020/03/13/belgium-closes-schools-bars-to-fight-coronavirus-outbreak.html,,
,Belgium,"Mar 14, 2020",,,,The government asked Belgians to work from home as much as possible.,remote work,,,,,,,,,https://www.thejakartapost.com/news/2020/03/13/belgium-closes-schools-bars-to-fight-coronavirus-outbreak.html,,
,Luxembourg,"Mar 16, 2020","Mar 27, 2020",,,"Meanwhile, Luxembourg’s Health Minister Paulette Lenert announced that all schools in the country will be closed as of March 16 until March 27.",school closure,,,,,,,,,https://www.aa.com.tr/en/europe/belgium-portugal-to-shut-schools-over-coronavirus/1764338,,
,Portugal,"Mar 13, 2020","Apr 09, 2020",,,Portugal’s Prime Minister Antonio Costa said in a press conference that all schools and universities will be closed until April 9.,,,,,,,,,,https://www.aa.com.tr/en/europe/belgium-portugal-to-shut-schools-over-coronavirus/1764338,,
,,,,,,,,,,,,,,,,,,
Just some data,,,,,,,,,,,,,,,,,,
