Name,Country,Date Start,Date end intended,Implementing State/Province,Implementing City,Description of measure implemented,Keywords,Exceptions,Applies To,Target country,Target region,Tests per day,Tests conducted to date,Contacts traced to date,Column 1,Source,Target state,Target city
Vietnam,Vietnam,"Jan 16, 2020",,,Danang,"Two tourists from Wuhan presenting with fevers were quarantined at the airport in Danang ",international traveller screening,,,,,,,,,https://www.straitstimes.com/asia/east-asia/japan-confirms-first-case-of-infection-with-new-china-coronavirus,,
"China ",China,"Jan 20, 2020",,Hubei,Wuhan,city formed specialized command for epidemic control (CEC) to upgrade measures to cope with the epidemic including enhanced protection over the medical workers;,task group,,,,,,,,,https://cn.reuters.com/article/cctv-wuhan-coronavirus-control-0121-idCNKBS1ZK07N,,
"China ",China,"Jan 20, 2020",,,"Beijing, Shenzhen",Case numbers rose to 136; Beijing and Shenzhen reported first cases,testing commenced,,,,,,,,,https://www.france24.com/en/20200120-china-confirms-sharp-rise-in-cases-of-sars-like-virus-across-the-country; https://cn.nytimes.com/china/20200120/china-virus-wuhan-coronavirus/,,
China,China,"Feb 01, 2020",,,,Import duties and US-specific tariffs were exempted on imported materials donated for epidemic prevention and control,"deregulation, economic incentives",,,,,,,,,https://web.archive.org/web/20200202065401/https://www.jiemian.com/article/3933142.html,,
China,China,"Feb 01, 2020",,,,"The Ministry of Ecology and Environment issued a notice late in the evening to deploy medical wastewater and urban sewage supervision, regulate emergency medical wastewater treatment, sterilisation and disinfection requirements, in order to prevent the spread of new coronavirus through faeces and sewage",waste water treatment,,,,,,,,,https://web.archive.org/web/20200202061200/https://www.jiemian.com/article/3933853.html,,
China,China,"Feb 01, 2020",,Hubei,,The Department of Civil Affairs of Hubei Province suspends all marriage registrations starting on 3 February 2020,"social isolation, weddings canceled",,,,,,,,,https://web.archive.org/web/20200202065359/https://www.jiemian.com/article/3932693.html,,
China,China,"Feb 01, 2020",,Hubei,Huanggang,"implements a much stricter control, allowing only one person from each household every two days to be on the street for purchases, unless for medically-related reasons, required for epidemic control, or as shop workers.","blanket house confinement, social isolation",,,,,,,,,https://web.archive.org/web/20200202143057/http://news.cnhubei.com/huanggang/p/12673257.html,,
China,China,"Feb 01, 2020",,Hunan,,"Hunan government required companies in the province not to resume business before 24:00 on 9 February; the new semester is not to start earlier than 17 February for primary and secondary schools and kindergartens, and 24 February for post-secondary institutions","business suspension, school closure, university closure",,,,,,,,,https://web.archive.org/web/20200202065356/https://www.jiemian.com/article/3931335.html,,
China,China,"Feb 01, 2020",,Tianjin,,Tianjin government issued a notice to postpone business resumption and the start of the new semester,"business suspension, school closure, university closure",,,,,,,,,https://web.archive.org/web/20200202141545/http://www.chinanews.com/gn/2020/02-01/9074793.shtml,,
China,China,"Feb 01, 2020",,Hubei,Huanggong,"Huanggang, Hubei converted Dabie Mountain Regional Medical Centre to an emergency treatment hospital, adding 1000 new beds","hospital construction, treatment capacity",,,,,,,,,https://web.archive.org/web/20200202065358/https://www.jiemian.com/article/3933470.html,,
Date,Date,,,,,,,,,,,,,,,,,
China,China,"Feb 01, 2020",,Hubei,,China Securities Regulatory Commission waived the 2020 annual listing fee that listed companies in Hubei are required to pay to the stock exchange.,economic stimulus,,,,,,,,,https://web.archive.org/web/20200202065359/https://www.jiemian.com/article/3932423.html,,
China,China,"Feb 01, 2020",,,,China Federation of Radio and Television Associations issued a notice to pause the filming of all films and TV dramas in mainland China during the epidemic,business suspension,,,,,,,,,https://web.archive.org/web/20200202065400/https://www.jiemian.com/article/3932933.html,,
China,China,"Feb 01, 2020",,,,Apple Inc. temporarily closed all Apple Stores in mainland China until 24:00 on 9 February.,business suspension,,,,,,,,,https://web.archive.org/web/20200202065357/https://www.jiemian.com/article/3932498.html,,
China,China,"Feb 01, 2020",,,,"China's National Health Commission (NHC) announced new regulations Saturday requiring that all who lose their lives to the coronavirus must be cremated at the nearest facility. ""No farewell ceremonies or other funeral activities involving the corpse shall be held,""","funeral hygiene, hygiene enforcement, public hygiene",,,,,,,,,https://web.archive.org/web/20200204043336/https://www.businessinsider.com/china-bans-funerals-for-coronavirus-victims-as-death-toll-rises-2020-2,,
China,China,"Feb 01, 2020",,,,"The Badminton World Federation announced it has postponed the 2020 Lingshui China Masters tournament, originally scheduled to be held from 25 February to 1 March",event cancellation,,,,,,,,,https://bwfbadminton.com/news-single/2020/02/01/bwf-statement-on-postponement-of-lingshui-china-masters/,,
